ext	ext_version	php	platform
amqp	<1.11
apcu	<5.0
ast	<1.0
ast	<1.1.2	>=8.4
ast	<1.1.3	>=8.5
bitset	<3.1
decimal	<1.4
ds	<1.4.0
ds	<1.5.0	>8.3
ev	<1.1
event	<3.0
# 1.2.0 is missing in PECL API (404 error)
excimer	1.2.0
excimer	<1.1.0	>=8.2
excimer	<1.2.2	>=8.4
gnupg	<1.5
grpc	<1.58,1.62,1.63,1.64
igbinary	<3.11
ip2location	<8.0	>=7.0
ip2location	<8.1	>=8.1
imagick	<3.5	>=8.0
imagick	<3.6	>=8.1
imagick	<3.8	>=8.4
inotify	<3.0
jsonpath	>=2.0	<8.0
jsonpath	<2.1	>=8.4
luasandbox	<4.1
lzf	<1.6
mailparse	<3.1
memcache	<8.0
memcached	<3.2
memprof	<2.1
mongodb	<1.16
mongodb	>=1.21	<8.1
# https://github.com/mlocati/docker-php-extension-installer/commit/132459eb53df87c0fc1134761becb1b7f45d41cd
mongodb	<1.20.1	>8.0
mongodb	<2.1.2	>=8.5
msgpack	<2.1
nsq	<3.5.1	>=8.0
oauth	<2.0
oci8	<3.0	>=8.0
oci8	3.0	<8.0,>8.0
oci8	3.2	<8.1,>8.1
oci8	3.3	<8.2,>8.2
openswoole	<22.1
openswoole	<25	>=8.4
pdo_firebird	bundled	""	linux/arm64
# Fails with "pear/PDO_OCI requires PHP (version >= 5.0.3, version <= 6.0.0)"
pdo_oci	<=1.0	>6.0
pdo_sqlsrv	<5.10
pkcs11	<1.1
pq	<2.2
protobuf	<3.20
psr	<1.2
raphf	<2.0
redis	<6.1	>=8.4
# seasclick outputs a module with different name (SeasClick.so vs seasclick.so)
# Handling this is currently out of scope
seasclick	>=0.0
seaslog	<2.2
smbclient	<1.0
solr	<2.6
sqlsrv	<5.10
stomp	<2.0
swoole	<4.8
swoole	<6.0	>=8.4
swoole	>=6.0	<=8.0
sync	<1.1
timezonedb	2006.16,2006.14,2006.11,2006.7,2006.1,2005.18,2005.17,2005.14,2005.13,2010.7,2010.5,2010.3,2010.2,2010.1,2009.21,2009.18,2009.17,2009.16,2009.15,2009.14,2009.13,2009.12,2009.10,2009.8,2009.6,2009.5,2009.4,2009.3,2009.1,2008.9,2008.8,2008.7,2008.6,2008.5,2008.4,2008.3,2008.2,2008.1,2007.11,2007.10,2007.9,2007.8,2007.5,2007,2007.2
uopz	<7.0
uploadprogress	<1.1
uuid	<1.1
xattr	<1.3.1	>=8.0
xdebug	>=3.0	<8.0
xdebug	<3.1	>=8.1
xdebug	<3.2	>=8.2
xdebug	<3.3	>=8.3
xdebug	<3.4	>=8.4
# All versions fail at least on 8.2-alpine3.21
xdiff	>0.0
xhprof	<2.3
xlswriter	<1.4
xmldiff	<1.1
yac	<2.3
yaml	<2.2
yar	<2.3
